n_cells	n_genes	bundle_bytes	shard_bytes	prepare_seconds	prepare_peak_mb	load_seconds	fetch_median	fetch_mean	fetch_max	n_fetched	replicate
10000	2000	3652827	21351504	48.750382900238	359.1	0.108498811721802	0.0347778797149658	0.0348490905761719	0.0403759479522705	25	2
10000	2000	3652704	21352820	48.2290360927582	362.4	0.10747218132019	0.0347328186035156	0.0344711399078369	0.0400168895721436	25	3
10000	2000	3652594	21351974	48.9483621120453	382.1	0.11471700668335	0.0350461006164551	0.034670934677124	0.0408871173858643	25	4
10000	2000	3652842	21352342	47.9331560134888	361.2	0.107937812805176	0.034883975982666	0.0356966781616211	0.0489139556884766	25	5
500	5000	6516534	2759117	71.817234992981	340.3	0.1183922290802	0.0123820304870605	0.0130042934417725	0.0178918838500977	25	1
500	5000	6516487	2759554	981.151876926422	337	0.127210855484009	0.0126650333404541	0.013123893737793	0.0181639194488525	25	2
500	5000	6516472	2759503	998.006154060364	341.2	0.111953020095825	0.0126028060913086	0.0133570194244385	0.0212011337280273	25	3
500	5000	6516985	2759314	1914.79384994507	339.3	0.112478017807007	0.0126099586486816	0.0131739807128906	0.0191819667816162	25	4
500	5000	6516925	2759716	976.210104942322	340.8	0.121380090713501	0.0128450393676758	0.0140549850463867	0.0225760936737061	25	5
1000	5000	6571738	5437028	1524.02960300446	346.5	0.12250018119812	0.0161328315734863	0.0168792629241943	0.0202858448028564	25	1
1000	5000	6571735	5436742	76.3315391540527	370.5	0.120774030685425	0.0138969421386719	0.0145384502410889	0.0202128887176514	25	2
1000	5000	6572076	5436756	75.344456911087	343	0.118316888809204	0.0143029689788818	0.0146471118927002	0.0208182334899902	25	3
1000	5000	6571194	5436829	74.3962340354919	372.4	0.118453979492188	0.0137119293212891	0.0147120571136475	0.0233759880065918	25	4
1000	5000	6571952	5436985	75.2485120296478	348.8	0.117603063583374	0.0138349533081055	0.0144160556793213	0.0210220813751221	25	5
2000	5000	6670550	10808275	80.443295955658	350.2	0.115012884140015	0.0162551403045654	0.0167344093322754	0.0229940414428711	25	1
2000	5000	6670418	10808532	82.850439786911	359.6	0.120075941085815	0.0170190334320068	0.0176866722106934	0.0246949195861816	25	2
2000	5000	6670072	10807996	81.2850229740143	351.2	0.118829011917114	0.0160279273986816	0.0166744804382324	0.021176815032959	25	3
