studyID	n_cells_full	n_cells_expr_only	n_genes_full	n_genes_expr_only	n_clusters_full	n_clusters_expr_only	net_tf_edges_full	net_sig_edges_full	status_full	status_expr_only	note_full	note_expr_only	prepare_seconds_full	prepare_seconds_expr_only	delta_prepare_seconds	prepare_peak_mb_full	prepare_peak_mb_expr_only	delta_prepare_peak_mb	load_seconds_full	load_seconds_expr_only	delta_load_seconds	load_seconds_warm_full	load_seconds_warm_expr_only	delta_load_seconds_warm	bundle_bytes_full	bundle_bytes_expr_only	delta_bundle_bytes	total_output_bytes_full	total_output_bytes_expr_only	delta_total_output_bytes
2324	18644	18644	9619	9619	10	10	0	0	"ok"	"ok"	NA	NA	801.306570768356	623.437678813934	177.868891954422	1754.9	1754.8	0.100000000000136	0.311247110366821	0.224317789077759	0.086929321289062	0.312013626098633	0.223113059997559	0.088900566101074	2484693	2483956	737	94035219	94034482	737
2325	13605	13605	8846	8846	7	7	666244	2696465	"ok"	"ok"	NA	NA	3670.81955528259	657.558571100235	3013.26098418236	6207	1321	4886	8.58226943016052	0.281748294830322	8.3005211353302	9.09032320976257	0.279394865036011	8.81092834472656	330147412	1912247	328235165	1180394275	65342393	1115051882
2326	4373	4373	14712	14712	4	4	1549003	1531394	"ok"	"ok"	NA	NA	3226.26851153374	693.237889766693	2533.03062176705	3784.5	1448.6	2335.9	8.02070355415344	0.271088123321533	7.74961543083191	7.4675977230072	0.272624492645264	7.19497323036194	309383772	1332324	308051448	824212799	90529669	733683130
2327	8464	8464	9861	9861	3	3	429516	314348	"ok"	"ok"	NA	NA	3015.3734869957	661.194250822067	2354.17923617363	4152.9	1070.2	3082.7	2.19504523277283	0.274547815322876	1.92049741744995	2.17219090461731	0.267610788345337	1.90458011627197	80878357	1649242	79229115	619486631	91164776	528321855
2331	15400	15400	21481	21481	7	7	263440	424897	"ok"	"ok"	NA	NA	10501.1257312298	1680.65623497963	8820.46949625017	11308.7	5440.7	5868	2.00415635108948	0.291800498962402	1.71235585212708	1.97407245635986	0.290549993515015	1.68352246284485	76984705	3044116	73940589	308725846	70371356	238354490
2332	10537	10537	26040	26040	13	13	263440	424897	"ok"	"ok"	NA	NA	11592.5632884502	1630.26721334457	9962.29607510563	9759.7	4600.5	5159.2	2.09858584403992	0.30414605140686	1.79443979263306	2.06828427314758	0.293896436691284	1.7743878364563	76983337	2731917	74251420	306204826	62102384	244102442
2333	138268	138268	18274	18274	15	15	384817	528311	"ok"	"ok"	NA	NA	9374.85592484474	8475.83884429932	899.01708054542	49279.2	39010.2	10269	2.77099657058716	0.598565101623535	2.17243146896362	2.75806522369385	0.601316690444946	2.1567485332489	110905241	18642577	92262664	3494361040	3346537474	147823566
2338	96305	96305	15778	15778	29	29	6557601	6973009	"ok"	"ok"	NA	NA	70728.8901124001	9726.86101841927	61002.0290939808	49097.2	2311.9	46785.3	34.2538280487061	0.379194736480713	33.8746333122254	34.3360021114349	0.378206491470337	33.9577956199646	1429475701	13088049	1416387652	10141632121	1532684305	8608947816
2339	50435	50435	15718	15718	10	10	4173419	4068560	"ok"	"ok"	NA	NA	31662.5581831932	6055.75426220894	25606.8039209843	26273.6	1313.2	24960.4	19.3562009334564	0.352458715438843	19.0037422180176	19.3233423233032	0.356256246566772	18.9670860767364	851470011	7156180	844313831	5494736395	782623004	4712113391
2341	104905	104905	12982	12982	12	12	2900665	4723739	"ok"	"ok"	NA	NA	43116.5706017017	8083.56529784203	35033.0053038597	47192.3	1576.5	45615.8	12.7476646900177	0.498168230056763	12.2494964599609	12.7147238254547	0.496838569641113	12.2178852558136	779252708	13718450	765534258	8174152164	921524831	7252627333
2342	56751	56751	13772	13772	13	13	3904489	4005173	"ok"	"ok"	NA	NA	32066.5501289368	5764.59230256081	26301.957826376	28877.9	1371.6	27506.3	20.2251889705658	0.418821811676025	19.8063671588898	20.0062766075134	0.397286415100098	19.6089901924133	813203666	7562778	805640888	5797516845	828877786	4968639059
